value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
,,,,,,,,,,,,,,,,,,,,,,,,,,5.896316,7.849364,537.849,847.1285,13.9965,1451.288,199.0325,809.2996
,,,,,,,,,,,,,,,,,,,,,,,,,,5.878692,7.86058,,858.5855,13.98506,1452.776,201.4994,811.9587
,,,,,,,,,,,,,,,,,,,,,,,,,,5.86267,7.876602,537.9921,859.464,13.97552,1449.693,202.8699,813.4359
,,,,,,,,,,,,,,,,,,,,,,,,,,5.84825,7.886215,538.1352,864.1539,13.96408,1457.197,203.8698,814.6177
,,,,,,,,,,,,,,,,,,,,,,,,,,5.84024,7.89102,538.2783,865.6154,13.96217,1474.84,204.3908,816.3184
,,,,,,,,,,,,,,,,,,,,,,,,,,5.838638,7.89743,538.4214,856.8187,13.97934,1486.778,205.3884,816.0229
,,,,,,,,,,,,,,,,,,,,,,,,,,5.841841,7.900634,538.5645,849.4144,14.00986,1495.691,205.7157,806.2739
,,,,,,,,,,,,,,,,,,,,,,,,,,5.838638,,538.7076,846.7404,14.01176,1498.898,203.3052,805.6829
,,,,,,,,,,,,,,,,,,,,,,,,,,5.864272,,538.8506,839.8488,14.03275,1491.257,202.6342,808.2704
,,,,,,,,,,,,,,,,,,,,,,,,,,5.894714,7.903839,,838.0467,14.04228,1476.941,203.8678,807.6797
,,,,,,,,,,,,,,,,,,,,,,,,,,5.926757,7.907042,538.9937,836.2362,14.048,1467.639,200.4966,808.2704
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,7.913451,539.1368,840.1581,14.05182,1462.92,200.6784,807.3844
,,,,,,,,,,,,,,,,,,,,,,,,,,5.928359,7.926269,,840.7611,14.05754,1462.4,200.6997,806.427
,,,,,,,,,,,,,,,,,,,,,,,,,,5.894714,7.932678,539.2799,834.9323,14.04228,1460.636,200.0539,815.3602
,,,,,,,,,,,,,,,,,,,,,,,,,,5.880294,7.93428,539.423,851.119,14.03275,1457.819,201.358,818.6096
,,,,,,,,,,,,,,,,,,,,,,,,,,5.872283,7.935881,,852.3032,14.02512,1464.877,201.8073,823.6313
,,,,,,,,,,,,,,,,,,,,,,,,,,5.87068,7.939086,539.5661,852.4995,14.02893,1475.721,204.8135,820.6049
,,,,,,,,,,,,,,,,,,,,,,,,,,5.872283,,539.7091,854.7724,14.03465,1487.532,204.7414,823.5586
,,,,,,,,,,,,,,,,,,,,,,,,,,5.87068,,539.8522,853.2977,14.04228,1494.41,204.402,824.4448
,,,,,,,,,,,,,,,,,,,,,,,,,,5.872283,,,855.3746,14.06898,1497.754,205.6826,820.9003
,,,,,,,,,,,,,,,,,,,,,,,,,,5.880294,7.931075,539.9953,851.2328,14.07661,1490.086,206.3243,816.1743
,,,,,,,,,,,,,,,,,,,,,,,,,,5.912338,,540.1384,849.1542,14.09378,1484.864,205.5001,811.153
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,7.932678,,846.7724,14.08615,1480.671,203.4253,814.9927
,,,,,,,,,,,,,,,,,,,,,,,,,,5.941177,,540.2815,857.4449,14.07089,1479.898,201.8795,826.1441
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,7.939086,,859.3994,14.06326,1483.671,202.8802,827.0302
,,,,,,,,,,,,,,,,,,,,,,,,,,5.912338,7.94229,540.4246,864.6671,14.05182,1483.595,206.7238,828.2115
,,,,,,,,,,,,,,,,,,,,,,,,,,5.896316,7.943893,,871.0676,14.03847,1479.248,203.9982,829.9836
,,,,,,,,,,,,,,,,,,,,,,,,,,5.880294,7.947096,540.5676,871.5417,14.04419,1486.49,208.3982,822.0093
,,,,,,,,,,,,,,,,,,,,,,,,,,5.872283,,540.7108,868.9333,14.04991,1508.131,206.9273,820.8279
,,,,,,,,,,,,,,,,,,,,,,,,,,5.87068,,540.8538,864.8615,14.05945,1525.552,205.1359,820.4601
,,,,,,,,,,,,,,,,,,,,,,,,,,5.86267,,,864.1812,14.07661,1534.479,205.0684,821.3461
,,,,,,,,,,,,,,,,,,,,,,,,,,5.87068,,,863.0222,14.09378,1532.479,202.094,821.9368
,,,,,,,,,,,,,,,,,,,,,,,,,,5.893111,,540.9969,853.2181,14.11095,1524.375,203.1529,821.0508
,,,,,,,,,,,,,,,,,,,,,,,,,,5.928359,,,854.7001,14.11858,1512.214,202.2171,
,,,,,,,,,,,,,,,,,,,,,,,,,,5.958801,,541.14,856.473,14.12239,1504.095,200.319,819.7972
,,,,,,,,,,,,,,,,,,,,,,,,,,5.974823,7.953505,,853.2223,,1493.24,199.6762,818.9113
,,,,,,,,,,,,,,,,,,,,,,,,,,5.968413,7.963119,,859.707,,1480.938,199.873,819.502
,,,,,,,,,,,,,,,,,,,,,,,,,,5.958801,7.972732,541.2831,861.949,,1480.2,200.9975,819.7972
,,,,,,,,,,,,,,,,,,,,,,,,,,5.94438,7.979141,,862.8269,,1478.76,200.2464,818.9113
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,7.982344,541.4261,864.2864,14.11858,1481.398,200.1968,818.0253
,,,,,,,,,,,,,,,,,,,,,,,,,,5.93637,7.985549,,869.5271,14.12048,1493.247,199.8143,817.9531
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,,,861.0733,14.12811,1500.408,200.9387,818.2485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.4911,14.14146,1496.977,201.0444,818.8391
,,,,,,,,,,,,,,,,,,,,,,,,,,5.942779,,,870.3087,14.13765,1496.978,199.918,827.4747
,,,,,,,,,,,,,,,,,,,,,,,,,,5.966812,7.987151,,867.2167,14.13574,1490.127,200.9622,832.126
,,,,,,,,,,,,,,,,,,,,,,,,,,6.005264,7.991958,,870.9899,14.1243,1478.764,203.7286,834.1931
,,,,,,,,,,,,,,,,,,,,,,,,,,6.030898,7.995162,,878.1999,14.12239,1466.559,205.0842,833.3073
,,,,,,,,,,,,,,,,,,,,,,,,,,6.040512,8.003174,,878.9531,14.11285,1459.864,206.9586,832.126
,,,,,,,,,,,,,,,,,,,,,,,,,,6.029296,8.015989,,873.7672,14.12048,1460.409,209.8022,825.0398
,,,,,,,,,,,,,,,,,,,,,,,,,,5.982833,8.028809,,883.0635,14.10522,1472.551,208.6321,831.8309
,,,,,,,,,,,,,,,,,,,,,,,,,,5.966812,8.035217,,882.3833,14.10713,1475.72,208.9759,824.154
47.9,16.0,33.0,16.0,30.0,18.0,25.1,15.0,25.0,25.0,16.0,25.0,10.0,10.00002,10.0,10.00002,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,5.934768,,,882.772,14.08234,1479.541,207.6984,836.2599
,,,,,,,,,,,,,,,,,,,,,,,,,,5.926757,,,889.4975,14.07661,1496.852,209.9808,837.7363
,,,,,,,,,,,,,,,,,,,,,,,,,,5.894714,,,884.7704,,1512.02,211.8435,840.689
,,,,,,,,,,,,,,,,,,,,,,,,,,5.878692,,,888.3713,14.07852,1519.526,212.5913,846.2991
,,,,,,,,,,,,,,,,,,,,,,,,,,5.880294,8.032013,,885.5312,14.09569,1531.808,214.0395,848.0707
,,,,,,,,,,,,,,,,,,,,,,,,,,5.894714,8.025604,541.2831,884.9642,14.10141,1530.589,214.0996,847.7755
,,,,,,,,,,,,,,,,,,,,,,,,,,5.910735,8.019196,541.4261,871.6464,,1526.822,216.0736,846.8895
,,,,,,,,,,,,,,,,,,,,,,,,,,5.93637,,541.2831,881.142,14.09378,1518.143,214.7004,850.1376
,,,,,,,,,,,,,,,,,,,,,,,,,,5.958801,,,877.41,14.08424,1525.189,216.5561,849.2518
,,,,,,,,,,,,,,,,,,,,,,,,,,5.94438,,541.14,882.7471,14.07852,1529.639,215.3377,850.4329
,,,,,,,,,,,,,,,,,,,,,,,,,,5.934768,,,881.3163,14.07089,1532.52,216.4152,852.2043
,,,,,,,,,,,,,,,,,,,,,,,,,,5.925155,,,893.812,14.05373,1546.903,219.946,855.1572
,,,,,,,,,,,,,,,,,,,,,,,,,,5.893111,,540.9969,890.8776,14.04991,1554.385,218.4656,853.0903
